ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
438062,"978-5-7827-0112-3,978-5-7827-0114-7",Достоевский Ф. М.,,,24.11.2008,1990 гр.,,2008,,,,,438062,Москва,,Преступление и наказание. В 2 томах,True,https://www.moscowbooks.ru/image/book/268/w259/i268485.jpg,,"Огромная сила образов, созданных великим писателем, блестяще передана в многочисленных иллюстрациях художника Олега Евсеева, публикуемых впервые. Великолепный переплет с оригинальным тиснением 6-ю цветами фольги и подложка с видами Петербурга Достоевского достойно завершают оформление издания.",,,207x140,0,,1094,Твердый переплет с золотым обрезом,1500 экз.,,140х207 мм,,8593 руб.,,русский
462213,4607031755907,Достоевский Ф. М.,67502,,25.05.2009,60 гр.,,,2009,,,,462213,,Москва,Идиот. Бедные люди. 1 CD: mp3.,True,https://www.moscowbooks.ru/image/book/285/w259/i285257.jpg,,"""Известность к Иннокентию Смоктуновскому пришла после того, как он сыграл князя Мышкина в спектакле по роману Ф. М. Достоевского ""Идиот"" в постановке Ленинградского Большого драматического театра.Роль Мышкина стала переломной в судьбе актера. Он сознавался, что его жизнь делится на две половины: до ""Идиота"" и после него, что не было еще такой же роли, которая позволила бы ему более полно выразить свой талант.Произведения Достоевского в исполнении Иннокентия Смоктуновского выстраданы, прочувствованы, продуманы. Актеру удается быть одновременно лириком и психологом, глубоко проникнуть во внутренний мир, передать неуловимые нюансы состояния души героев Достоевского.Читает: Иннокентий Смоктуновский.Время звучания: 6 ч. 22 мин.",,Ардис,,0,,,,,,,,192 руб.,,русский
528178,978-5-389-01212-7,Достоевский Ф. М.,00000016946,,01.10.2010,165 гр.,,2014,,Азбука; Азбука-Аттикус,,,528178,СПб,,Белые ночи.,True,https://www.moscowbooks.ru/image/book/330/w259/i330613.jpg,,"В истории мирового романа Ф. М. Достоевскому принадлежит одно из первых мест. Его творчество обогатило опыт художественного самопознания человечества. Он автор знаменитых романов «Преступление и наказание», «Униженные и оскорбленные», «Идиот», «Братья Карамазовы», «Игрок»... В настоящем издании представлены ранние повести Достоевского: «Белые ночи» (1848) и «Неточка Незванова» (1849—1860). Если в первом произведении (романе влюбленных) поднимается столь своевременная и сегодня проблема отчужденности личности, то во втором ставится вопрос: изначально ли жестока человеческая натура. Можно смело сказать, что «Белые ночи» и «Неточка Незванова» — самые поэтичные произведения Достоевского. Книгу завершают эссе И. Анненского о Достоевском.",,,180x115,0,,320,Мягкая обложка,3000 экз.,,76х100 1/32,,128 руб.,,русский
534806,978-5-389-01367-4,Достоевский Ф. М.,00000017170,,15.11.2010,180 гр.,,2011,,Азбука; Азбука-Аттикус,,,534806,СПб,,Чужая жена и муж под кроватью.,True,https://www.moscowbooks.ru/image/book/335/w259/i335093.jpg,,"В книге объединены произведения Достоевского, написанные им в начале литературного пути: ""Роман в девяти письмах"", ""Чужая жена и муж под кроватью"", ""Дядюшкин сон"", ""Скверный анекдот"", ""Крокодил"". В них довольно сложно угадать будущего автора ""великого пятикнижия"", перед нами — ""веселый"" Достоевский, обнаруживающий талант сатирика и юмориста, который позднее лишь отдельными искорками высветится в его знаменитых романах.",,,180x115,0,,368,Мягкая обложка,5000 экз.,,76х100 1/32,,128 руб.,,русский
537526,978-5-93898-307-6,Достоевский Ф. М.,,Мелованная,30.11.2010,1050 гр.,,2010,,,,Непомнящий Б. Л.,537526,СПб,,Записки из мертвого дома,True,https://www.moscowbooks.ru/image/book/336/w259/i336786.jpg,Золотой,"""Записки из Мертвого дома"" (1860—1862) — одно из наиболее значительных и своеобразных произведений русской литературы 1860-х годов и одновременно одна из вершин творческого наследия Ф.М. Достоевского. В нем отражены впечатления пережитого и увиденного автором в Сибири, в омском остроге, где он провел четыре года, осужденный по делу петрашевцев. Этот уникальный литературный документ, жанровую природу которого часто характеризуют как ""художественные мемуары"", содержит рассказы о судьбах реальных заключенных, которых писатель встречал на каторге. В то же время это художественное произведение, важнейшая философская проблематика которого задана в развернутых метафорах Мертвого дома и воскресения. Книга сопровождается статьей и примечаниями Б.Н. Тихомирова, написанными специально для этого издания. Также впервые публикуется цикл иллюстраций, созданный замечательным графиком, членом-корреспондентом Российской академии художеств Б.Л. Непомнящим.",,,240x170,0,,504,Кожаный переплет,1200 экз.,Углубленное тиснение (красочное плоскоуглубленное изображение),70х100 1/16,Вставной,18900 руб.,,русский
539813,978-5-389-01465-7,Достоевский Ф. М.,00000017376,,13.12.2010,115 гр.,,2013,,Азбука; Азбука-Аттикус,,,539813,СПб,,Игрок.,True,https://www.moscowbooks.ru/image/book/338/w259/i338405.jpg,,"Роман «Игрок» занимает в творчестве Ф. М. Достоевского особое место — в нем исключительно сильны автобиографические мотивы: многолетнее увлечение писателя игрой в рулетку и сложные, мучительные взаимоотношения с А. П. Сусловой. Замысел «Игрока» возник еще в 1863 г. Осенью 1865 г., испытывая финансовые трудности, Достоевский всего за 26 дней надиктовал текст романа своей стенографистке А. Г. Сниткиной (ставшей впоследствии его женой). По ее воспоминаниям, когда в процессе работы над романом обсуждались судьбы героев, то «Федор Михайлович был вполне на стороне ""игрока"" и говорил, что многое из его чувств и впечатлений испытал сам на себе. Уверял, что можно обладать сильным характером, доказать это своею жизнью и тем не менее не иметь сил побороть в себе страсть к игре на рулетке».",,,180x115,0,,224,Мягкая обложка,3000 экз.,,76х100 1/32,,112 руб.,,русский
541743,978-5-389-01464-0,Достоевский Ф. М.,00000017410,,22.12.2010,340 гр.,,2011,,Азбука; Азбука-Аттикус,,,541743,СПб,,Бесы.,True,https://www.moscowbooks.ru/image/book/339/w259/i339583.jpg,,"Уже были написаны «Записки из Мертвого дома», «Записки из подполья», «Преступление и наказание», «Идиот», а Достоевский все еще испытывал острое чувство неудовлетворенности и, по собственному признанию, только подбирался к главному своему произведению, перед которым вся «прежняя литературная карьера была только дрянь и введение». Однако в политической жизни России случилось нечто, заставившее Достоевского изменить свои литературные планы и приступить к созданию романа с вызывающим и символичным названием «Бесы». Спиралеобразное развитие истории вообще и российской истории в частности позволяет думать, что роман Достоевского «Бесы» будет интересен новым поколениям читателей не только как шедевр классической литературы.",,,180x115,0,,704,Мягкая обложка,7000 экз.,,76х100 1/32,,168 руб.,,русский
556836,978-5-389-01995-9,Фицджеральд Ф. С.,00000017817,,04.04.2011,135 гр.,,2012,,Азбука; Азбука-Аттикус,,,556836,СПб,,Великий Гэтсби.,True,https://www.moscowbooks.ru/image/book/349/w259/i349502.jpg,,"Фрэнсис Скотт Фицджеральд — писатель, возвестивший миру о начале нового века — ""века джаза"", автор романов ""Великий Гэтсби"", ""Ночь нежна"", ""Последний магнат"" — принадлежит к числу самых крупных прозаиков США ХХ века. В вошедшем в настоящее издание романе ""Великий Гэтсби"" Фицджеральд исследует феномен ""американской мечты"". В образе главного героя Джея Гэтсби писателю удалось добиться удивительной гармонии в изображении притягательности мечты и неминуемого ее краха.",Калашникова Е.,,180x115,4,,256,Мягкая обложка,5000 экз.,,76х100 1/32,,112 руб.,английский,русский
574915,978-5-389-02280-5,Достоевский Ф. М.,00000018093,,25.07.2011,130 гр.,,2011,,Азбука; Азбука-Аттикус,,,574915,СПб,,Записки из подполья.,True,https://www.moscowbooks.ru/image/book/361/w259/i361870.jpg,,"""Записки из подполья"" — увертюра Достоевского к его пятикнижию; в повести нашли свое выражение великие прозрения художника-мыслителя; здесь впервые в русской литературе сформулированы основы философии экзистенциализма. ""Записки из подполья"" — повесть точно поставленных вопросов и точно найденных интонаций. Боль пронизывает слово героя, оно бьется в стремительных перепадах его настроений, в бесконечных волнениях, в тягостных переживаниях и в неразрешимых тупиках.",,,180x115,0,,256,Мягкая обложка,5000 экз.,,76х100 1/32,,120 руб.,,русский
575445,978-5-389-02376-5,Фицджеральд Ф. С.,А0000000234,,28.07.2011,160 гр.,,2012,,Азбука; Азбука-Аттикус,,,575445,СПб,,По эту сторону рая.,True,https://www.moscowbooks.ru/image/book/362/w259/i362218.jpg,,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах «Великий Гэтсби», «Ночь нежна», «Последний магнат» и других Фицджеральд сумел наиболее ярко и точно выразить настроения «века джаза», отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом. Предлагаем вниманию читателей первый роман писателя, незамедлительно обеспечивший молодому гению почетное место на вершинах литературного олимпа. Перед читателем разворачивается история самовлюбленного тщеславного аристократа, вынужденного пройти суровую школу Первой мировой войны, роковым образом изменившей его судьбу. Разочарование в любви, бедность и множество горьких неудач помогают Эмори Блейну осознать истинную ценность жизни, протекающую «по эту сторону рая».",Лорие М.,,180x115,0,,320,Мягкая обложка,5000 экз.,,76х100 1/32,,128 руб.,английский,русский
584603,978-5-389-02806-7,Достоевский Ф. М.,А0000000581,,26.09.2011,230 гр.,,2011,,Азбука; Азбука-Аттикус,,,584603,СПб,,Дневник писателя.,True,https://www.moscowbooks.ru/image/book/368/w259/i368008.jpg,,"Знал ли Достоевский, когда создавал свой ""Дневник писателя"", что это будет произведение, актуальное на все времена?""Дневник писателя"" вобрал в себя разнообразный материал: политические статьи, судебные очерки, исторические размышления, судебные заметки, литературную критику, автобиографическую прозу. Эту книгу можно было бы назвать — ""Русский вопрос в конце XIX века"". Эта книга, отвечающая на многие ""проклятые"" вопросы, принесла Достоевскому общероссийскую славу и сделала его кумиром многих поколений.",,,180x115,0,,464,Мягкая обложка,5000 экз.,,76х100 1/32,,144 руб.,,русский
585315,978-5-389-02646-9,Достоевский Ф. М.,А0000000470,,29.09.2011,210 гр.,,2013,,Азбука; Азбука-Аттикус,,,585315,СПб,,Униженные и оскорбленные.,True,https://www.moscowbooks.ru/image/book/368/w259/i368479.jpg,,"Роман «Униженные и оскорбленные» (1861) создавался Ф.М. Достоевским в эпоху необычайного подъема русской общественной жизни — в эпоху, когда публикация нового литературного произведения воспринималась как событие социально значимое. Так было воспринято и появление романа «Униженные и оскорбленные». После его выхода в свет Н. А. Добролюбов отвел Достоевскому самое почетное место в «гуманистическом» направлении русской литературы. Многое в этом романе читателям казалось необычным: перед ними была поставлена новая этико-социальная проблема — проблема эгоизма. Князь Валковский, разворачивающий на страницах романа свою циническую «философию жизни», стал первым в творчестве писателя героем-«идеологом», предшественником Человека из подполья, Раскольникова, Свидригайлова и других героев Достоевского 1860—1870-х гг.",,,180x115,0,,432,Мягкая обложка,3000 экз.,,76х100 1/32,,120 руб.,,русский
624863,978-5-86547-555-2,Достоевский Ф. М.,9785865475552,,17.05.2012,85 гр.,,2012,,Златоуст,,,624863,СПб,,Белые ночи. 4 уровень. 9-е издание.,True,https://www.moscowbooks.ru/image/book/392/w259/i392601.jpg,,"задания, словарь, вопросы, адаптированный текст, романтическая любовь",,,215x145,0,,72,Мягкая обложка,1000 экз.,,60х90 1/16,,216 руб.,,русский
649639,978-5-389-04730-3,Достоевский Ф. М.,А0000003474,,26.10.2012,445 гр.,,2012,,Азбука; Азбука-Аттикус,,,649639,СПб,,Идиот.,True,https://www.moscowbooks.ru/image/book/407/w259/i407645.jpg,,"""Главная идея... — писал Ф. М. Достоевский о своем романе ""Идиот"", — изобразить положительно-прекрасного человека. Труднее этого нет ничего на свете…"" Не для того ли писатель явил миру ""князя-Христа"", чтобы мы не забывали: ""Страдание есть главнейший и, может быть, единственный закон бытия всего человечества"".Каждое новое поколение по-своему воспринимает классику и пытается дать собственные ответы на вечные вопросы бытия. Об этом свидетельствуют и известные экранизации романа, его сценические версии. В России запоминающиеся образы князя Мышкина создали Ю. Яковлев, И. Смоктуновский, Е. Миронов.",,,200x130,0,,640,Твердый переплет,15000 экз.,,84х108 1/32,,144 руб.,,русский
654218,978-5-389-04926-0,Достоевский Ф. М.,А0000003840,,22.11.2012,430 гр.,,2013,,Азбука; Азбука-Аттикус,,,654218,СПб,,Преступление и наказание.,True,https://www.moscowbooks.ru/image/book/410/w259/i410286.jpg,,"Одно из ""краеугольных"" произведений русской и мировой литературы, включенный во все школьные и университетские программы, неоднократно экранизированный роман Достоевского ""Преступление и наказание"" ставит перед читателем важнейшие нравственно-мировоззренческие вопросы — о вере, совести, грехе и об искуплении через страдание. Опровержение преступной ""идеи-страсти"", ""безобразной мечты"", завладевшей умом Родиона Раскольникова в самом ""умышленном"" и ""фантастическом"" городе на свете, составляет основное содержание этой сложнейшей, соединившей в себе несколько различных жанров книги. Задуманный как ""психологический отчет одного преступления"", роман Достоевского предстал перед читателем грандиозным художественно-философским исследованием человеческой природы, христианской трагедией о смерти и воскресении души.",,,200x130,0,,608,Твердый переплет,15000 экз.,,84х108 1/32,,144 руб.,,русский
654222,978-5-389-04764-8,Фицджеральд Ф. С.,А0000003355,,22.11.2012,205 гр.,,2012,,Азбука; Азбука-Аттикус,,,654222,СПб,,Ночь нежна.,True,https://www.moscowbooks.ru/image/book/410/w259/i410278.jpg,,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах ""По ту сторону рая"", ""Великий Гэтсби"", ""Последний магнат"" и других Фицджеральд сумел наиболее ярко и точно выразить настроения ""века джаза"", отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом.Не стал исключением и его роман ""Ночь нежна"", который писатель называл ""самым любимым своим произведением"".",Калашникова Е.,,180x115,5,,416,Мягкая обложка,50003 экз.,,76х100 1/32,,144 руб.,английский,русский
655534,978-5-389-04936-9,Фицджеральд Ф. С.,А0000003854,,29.11.2012,320 гр.,,2013,,Азбука; Азбука-Аттикус,,,655534,СПб,,Ночь нежна.,True,https://www.moscowbooks.ru/image/book/411/w259/i411135.jpg,,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах ""По ту сторону рая"", ""Великий Гэтсби"", ""Последний магнат"" и других Фицджеральд сумел наиболее ярко и точно выразить настроения ""века джаза"", отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом. Не стал исключением и его роман ""Ночь нежна"", который писатель называл ""самым любимым своим произведением"".",Калашникова Е.,,200x130,0,,416,Твердый переплет,15000 экз.,,84х108 1/32,,144 руб.,английский,русский
673755,978-5-389-05533-9,Достоевский Ф. М.,А0000004425,,26.03.2013,185 гр.,,2013,,Азбука-Аттикус; Авалонъ,,,673755,СПб,,Записки из Мертвого дома.,True,https://www.moscowbooks.ru/image/book/422/w259/i422720.jpg,,"""Записки из Мёртвого дома"" — одна из вершин творческого наследия Ф. М. Достоевского — основаны на жизненной истории: это ужасные воспоминания Достоевского, приговорённого сначала к расстрелу за участие в революционном кружке, но вместо смертной казни сосланного в Омский острог, где он пробыл с 1850 до 1854 года, всё это время закованный в кандалы и в соседстве с каторжниками. Вспоминания это соседство, писатель говорит: ""Ничего нет ужаснее, как жить не в своей среде..."" С другой стороны, эти четыре года не в своей среде развили литературные способности Достоевского: в лучших романах, появившихся после ""Мёртвого дома"", чувствуется, что никто другой не умеет с такой силой передать трагичность тех или иных людских переживаний и отношений. Лев Толстой, ревниво следивший за творчеством современных ему литераторов, как-то признался, перечитав ""Мёртвый дом"": ""Я не знаю лучше книги изо всей новой литературы, включая Пушкина"".",,,180x115,0,,384,Мягкая обложка,3000 экз.,,76х100 1/32,,128 руб.,,русский
677874,978-5-389-05648-0,Фицджеральд Ф. С.,А0000004606,,18.04.2013,830 гр.,,2013,,Азбука; Азбука-Аттикус,,,677874,СПб,,Великий Гэтсби.,True,https://www.moscowbooks.ru/image/book/425/w259/i425257.jpg,,"Абсолютная мировая классика, проза высочайшего уровня, созданная мастером с безупречным вкусом и уникальным литературным даром. Почти столетие читающий мир восторгается романами и рассказами писателя «века джаза», и течение времени лишь усиливает их популярность. Четыре главных романа собраны в эту книгу, четыре жемчужины, созданные писателем, чей путь к успеху в литературе был отнюдь не таким безоблачным, как у некоторых его современников, но чья посмертная слава многих отодвинула в тень.",Сорока О.; Калашникова Е.; Лорие М.,,235x140,0,,864,Твердый переплет,4000 экз.,,60х100 1/16,,515 руб.,английский,русский
691987,978-5-699-57660-9,Достоевский Ф. М.,ITD000000000201818,,26.07.2013,375 гр.,,2013,,Эксмо,,,691987,Москва,,Бесы.,True,https://www.moscowbooks.ru/image/book/434/w259/i434489.jpg,,"Роман ""Бесы"" Ф. М. Достоевского — одно из величайших достижений мировой культуры — точно и глубоко обозначивший разломы грядущих социальных катастроф. Первая мировая война, русская революция, глобальная катастрофа Второй мировой и наши дни, подтвердили его пророчества о том, что ждет общество, отменившее веками существовавшие нравственные основания на которых оно и стоит. В этом шатком состоянии люди теряют способность различать добро и зло. Попытки радикального переустройства общества, духовная и нравственная слепота, ведут к катастрофе и безумию. Каждый раз из тектонических сдвигов истории, словно джинн из лампы, бесы приходят в мир, обещая помощь в исполнение якобы великих свершений, в реальности ими же порождённых, человеческих прихотей. И, вместе с тем, надежда, выраженная в эпиграфе романа: "" вышли жители смотреть случившееся и, пришедшие к Иисусу, нашли человека, из которого вышли бесы, сидящего у ног Иисусовых, одетого и в здравом уме, и ужаснулись"". Каждый, прочитавший это произведение, получает прививку от бездумного следования за очередными губительными лозунгами.",,,180x115,0,,768,Мягкая обложка,4000 экз.,,76х100 1/32,,200 руб.,,русский
696494,978-5-389-05878-1,Достоевский Ф. М.,А0000004701,,27.08.2013,325 гр.,,2013,,Азбука; Азбука-Аттикус,,,696494,СПб,,Братья Карамазовы.,True,https://www.moscowbooks.ru/image/book/436/w259/i436665.jpg,,"Имя Ф. М. Достоевского стало одним из символов культуры конца XIX — начала ХХ века. Он сумел сформулировать самые сущностные, самые глубинные вопросы человеческого бытия: чем движим человек, в чем его вера, каково направление его поисков? Он создал особый тип романа, которому трудно подобрать исчерпывающее определение — психологический, социально-философский, идеологический, полифонический, — настолько многомерны произведения писателя.",,,,0,,1056,Твердый переплет (ткань),5000 экз.,,70х84 1/32,,697 руб.,,русский
703939,978-5-389-06010-4,Достоевский Ф. М.,А0000005015,,10.10.2013,485 гр.,,2013,,Азбука; Азбука-Аттикус,,,703939,СПб,,Бесы.,True,https://www.moscowbooks.ru/image/book/441/w259/i441345.jpg,,"Уже были написаны «Записки из Мертвого дома», «Записки из подполья», «Преступление и наказание», «Идиот» и другие шедевры, а Достоевский все еще испытывал острое чувство неудовлетворенности и, по собственному признанию, только подбирался к главному своему произведению. В 1871—1872 годах выходит его шестой роман с вызывающим и символическим названием «Бесы». Увлекательная драма, захватывающий сюжет, бушующие страсти и чрезвычайные, дикие события «под стеклянным колпаком» провинциального города, — таково одно из величайших произведений не только русской, но и мировой литературы.",,,200x130,0,,704,Твердый переплет,10000 экз.,,84х108 1/32,,144 руб.,,русский
708413,978-5-389-06657-1,Достоевский Ф. М.,А0000006777,,07.11.2013,550 гр.,,2014,,Азбука; Азбука-Аттикус,,,708413,СПб,,Братья Карамазовы.,True,https://www.moscowbooks.ru/image/book/444/w259/i444390.jpg,,"Последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского обращает читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как ""роман о богохульстве и опровержении его"", явилась попыткой ""решить вопрос о человеке"", ""разгадать тайну"" человека, что, по Достоевскому, означало ""решить вопрос о Боге"". Сквозь призму истории провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, ""Братья Карамазовы"" стали в ХХ веке объектом парадоксальных философских и психоаналитических интерпретаций.",,,200x130,0,,832,Твердый переплет,15000 экз.,,84х108 1/32,,144 руб.,,русский
721246,978-5-17-082195-2,Лукьяненко С. В.,AST000000000144075,,21.01.2014,585 гр.,,2014,,АСТ,,,721246,Москва,,Глубина.,True,https://www.moscowbooks.ru/image/book/460/w259/i460247.jpg,,"""Лабиринт отражений"". ""Фальшивые зеркала"". ""Прозрачные витражи"". Знаменитый цикл мастера отечественной фантастики Сергея Лукьяненко, получивший культовый статус благодаря динамичному сюжету, уникальной авторской манере повествования и пророческому посылу: величайшее чудо, созданное человечеством, может оказаться как даром, так и проклятием, если использовать его бездумно. Итак, добро пожаловать в виртуальный город Диптаун — столицу киберреальности!..",,,200x130,0,,796,Твердый переплет,3000 экз.,,84х108 1/32,,485 руб.,,русский
721423,978-5-389-06888-9,Достоевский Ф. М.,А0000007202,,22.01.2014,335 гр.,,2014,,Азбука; Азбука-Аттикус,,,721423,СПб,,Записки из Мертвого дома.,True,https://www.moscowbooks.ru/image/book/452/w259/i452079.jpg,,"""Записки из Мертвого дома"" созданы Ф. М. Достоевским на основе его воспоминаний о заключении в Омском острогев 1850—1854 гг. Приговор к смертной казни за участие в революционном кружке, замененный в последний момент на каторгу, пребывание в кандалах вместе с преступниками, близкое знакомство с муками и страданиями людей, совершили в душе писателя переворот, отразившийся на всем его творчестве. Произведение было высоко оценено современниками Ф. М. Достоевского и до сих пор читается с неослабевающим интересом. Глубокие размышления писателя, описания каторжного быта, трогательные истории о человеческих судьбах по-прежнему легко находят путь к сердцу читателей.",,,200x130,0,,416,Твердый переплет,15000 экз.,,84х108 1/32,,144 руб.,,русский
726985,978-5-389-07435-4,Роулинг Дж. К.,А0000007533,,21.02.2014,475 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,726985,Москва,,Гарри Поттер и Философский камень.,True,https://www.moscowbooks.ru/image/book/454/w259/i454685.jpg,,"Важные отличия нового издания книг о Гарри Поттере от предыдущего — знаменитый перевод Марии Спивак и новое современное оформление. Некоторое время назад в одном из интервью Мария Спивак очень точно объяснила, чем именно отличается ее перевод от ранее издававшегося:«Известно, что имена персонажей в книгах Роулинг в большинстве своем говорящие, и любой переводчик, естественно, стремится этот дополнительный смысл передать. Оставлять такие имена без перевода, с моей точки зрения, неправильно: подтекст и, следовательно, характер персонажа должен улавливаться сразу и без всяких сносок, тем более что в случае с именами у Роулинг сноски иногда занимали бы полстраницы. Разумеется, «Росмэн» сделал это по-своему, я — по-своему. И это — хорошая возможность для читателей взглянуть на полюбившееся произведение новым взглядом. Правда, тем, кому привычка заменяет счастье, возможно, придется нелегко.Но имена — всего лишь переменные величины, они могут нравиться или не нравиться, вопрос вкуса. Главное в другом — мои переводы, над которыми была проделана огромная работа мной, редакторами и корректорами, отличаются абсолютной выверенностью текста по отношению к оригиналу. Выверенностью во всем до мелочей. Я могу с уверенностью сказать, что в их нынешнем виде мои переводы наиболее точно передают «дух и букву» произведений Роулинг». В качестве оформления были выбраны работы американского художника Кацу Кибуиши (Kazu Kibuishi). Его иллюстрации впервые украсили юбилейное переиздание 7 книг о Гарри Поттере издательства «Scholastic» в США, приуроченное к 15-летию с момента публикации первой книги о юном колдуне.",Спивак М.,,200x130,1,,432,Твердый переплет,35000 экз.,,84х108 1/32,,487 руб.,английский,русский
734262,978-5-7827-0154-3,Достоевский Ф. М.,,,09.04.2014,3000 гр.,,2014,,,,,734262,Москва,,Братья Карамазовы. В 3 томах,True,https://www.moscowbooks.ru/image/book/458/w259/i458910.jpg,,"Самый сложный, самый многоуровневый и неоднозначный из романов Достоевского, который критики считали то ""интеллектуальным детективом"", то ""ранним постмодернизмом"", то — ""лучшим из произведений о загадочной русской душе"".",,,200x145,0,,1343,Кожаный переплет,1000 экз.,,60х84 1/16,,13598 руб.,,русский
736390,978-5-389-07987-8,Роулинг Дж. К.,А0000007898,,21.04.2014,295 гр.,,2014,,Азбука; Азбука-Аттикус,,,736390,СПб,,Случайная вакансия.,True,https://www.moscowbooks.ru/image/book/460/w259/i460122.jpg,,"В Пэгфорде на сороковом году жизни скоропостижно скончался член местного совета Барри Фейрбразер. Это событие повергло горожан в шок.В провинциальном английском городке с мощеной рыночной площадью и древним монастырем, казалось бы, царит идиллия, но так ли это на самом деле? Что скрывается за красивыми английскими фасадами? На самом деле тихий городок уже давно находится в состоянии войны. Богатые конфликтуют с бедными, подростки — с родителями, жены — с мужьями, учителя — с учениками... Пэгфорд не такой, каким кажется на первый взгляд. Но освободившееся кресло в местном совете только обостряет все эти конфликты и грозит привести к такой войне, которой еще не видел маленький городок. Кто сумеет победить на выборах, наполненных страстью, двуличием и неожиданными разоблачениями?Это большой роман о маленьком городе и первая книга Джоан Роулинг для взрослых. Прекрасное произведение, созданное удивительным рассказчиком.",Петрова Е.,,180x115,0,,608,Мягкая обложка,15000 экз.,,75х100 1/32,,208 руб.,английский,русский
737035,978-5-389-07781-2,Роулинг Дж. К.,А0000007867,,25.04.2014,515 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,737035,Москва,,Гарри Поттер и Тайная комната.,True,https://www.moscowbooks.ru/image/book/460/w259/i460421.jpg,,"Волшебство продолжается! Книга, покорившая мир, эталон литературы для читателей всех возрастов, синоним успеха. Книга, сделавшая Дж.К. Роулинг самым читаемым писателем современности. ГАРРИ ПОТТЕР И ТАЙНАЯ КОМНАТА — история продолжается. Знаменитый перевод Марии Спивак. Новое современное оформление.",Спивак М.,,200x130,0,,480,Твердый переплет,30000 экз.,,84х108 1/32,,487 руб.,английский,русский
